#TC_ID/PC_ID , Testcase_Description, Service_ID, SubService_ID, Expected_Response_Data, Write_Data, Addressing
ECU_INFO-1 , S/W Version,0x22,0xF1DD,0x62,  ,Physical
ECU_INFO-2 , B-CAN Version,0x22,0xF100,0x62,  ,Physical
ECU_INFO-3 , Manufacturing Date,0x22,0xF18B,0x62,  ,Physical
ECU_INFO-4 , ECU_Serial Number,0x22,0xF18C,0x62,  ,Physical
ECU_INFO-5 , H/W Version,0x22,0xF193,0x62,  ,Physical
TC_ID-001 , Start default session,0x10,0x01,0x50,  ,Physical
TC_ID-003 , Start Extended session,0x10,0x03,0x50,  ,Physical
TC_ID-004 , Sub function not supported(10 FF),0x10,0xFF,0x12,  ,Physical
TC_ID-005 , Incorrect message length(No sub function)(10),0x10,  ,0x13,  ,Physical
TC_ID-007 , Hard reset,0x11,0x01,0x51,  ,Physical
TC_ID-008 , Soft reset,0x11,0x03,0x51,  ,Physical
TC_ID-009 , Sub function not supported(out ofrange)(11 08) ,0x11,0x08,0x12,  ,Physical
TC_ID-010 , Incorrect message length(No sub function)(11),0x11,  ,0x13,  ,Physical
PC_ID-001 , Start Extended session,0x10,0x03,0x50,  ,Physical
TC_ID-014 , PreCondition: PC_ID-001  Testcase:EnableRxAndDisableTx Extended session(28 01) ,0x28,0x01,0x68,  ,Functional
TC_ID-015 , PreCondition: PC_ID-001  Testcase:DisableRxAndEnableTx Extended session(28 02) ,0x28,0x02,0x68,  ,Functional
TC_ID-016 , PreCondition: PC_ID-001  Testcase:DisableRxAndDisableTx Extended session(28 03) ,0x28,0x03,0x68,  ,Functional
PC_ID-002 , Start Default session,0x10,0x01,0x50,  ,Physical
TC_ID-021 , incorrect message length(No sub function) with Default session(85),0x85,  ,0x7F,  ,Physical
TC_ID-022 , PreCondition: PC_ID-002  Testcase:DTC setting ON wrong Session(85 01),0x85,0x01,0x7F,  ,Physical
TC_ID-023 , PreCondition: PC_ID-002  Testcase:DTC setting OFF wrong Session(85 02) ,0x85,0x02,0x7F,  ,Physical
TC_ID-024 , PreCondition: PC_ID-002  Testcase:Service not supported in active session(Default)(85 01),0x85,0x01,0x7F,  ,Physical
TC_ID-025 , PreCondition: PC_ID-002  Testcase:Invalid sub function(85 FF),0x85,0xFF,0x7F,  ,Physical
PC_ID-003 , Start Extended session,0x10,0x03,0x50,  ,Physical
TC_ID-027 , Incorrect message length(No sub function) with Extended session(85),0x85,  ,0x13,  ,Physical
TC_ID-028 , PreCondition: PC_ID-003  Testcase:DTC setting ON  Pre-condition extended(85 01),0x85,0x01,0xC5,  ,Physical
TC_ID-029 , PreCondition: PC_ID-003  Testcase:DTC setting OFF Pre-condition extended(85 02) ,0x85,0x02,0xC5,  ,Physical
TC_ID-030 , PreCondition: PC_ID-003  Testcase:Sub function not supported(not valid sub function)(85 08) ,0x85,0x08,0x12,  ,Physical
TC_ID-032 , PreCondition: PC_ID-003  Testcase: Invalid  sub function(85 0A) ,0x85,0x0A,0x12,  ,Physical
TC_ID-034 , PreCondition: PC_ID-003  Testcase:Read DTC with Extended session(19 01) ,0x19,0x01,0x59,  ,Physical
TC_ID-035 , PreCondition: PC_ID-003  Testcase:Read DTC Extended session(19 02) ,0x19,0x02,0x59,  ,Physical
TC_ID-037 , PreCondition: PC_ID-003  Testcase:Subfunction not supported(No Mask)(19 0F),0x19,0x0F,0x12,  ,Physical
TC_ID-038 , PreCondition: PC_ID-003  Testcase:Subfunction not supported(19 0E),0x19,0x0E,0x12,  ,Physical
TC_ID-039 , PreCondition: PC_ID-003  Testcase:Subfunction not supported(properMask improper record with 0xFF)(19 FF),0x19,0xFF ,0x12,  ,Physical
TC_ID-043 , PreCondition: PC_ID-003  Testcase:Fault memory clear Extended session(14 FFFFFF) ,0x14,0xFFFFFF,0x54,  ,Physical
TC_ID-044 , PreCondition: PC_ID-003  Testcase:Conditions not correct(invalid range)(14 FFEEEE) ,0x14,0xFFEEEE,0x22,  ,Physical
TC_ID-045 , PreCondition: PC_ID-003  Testcase:Request out of range(Empty Group of DTC))(14),0x14,  ,0x13,  ,Physical
PC_ID-004 , Start default session,0x10,0x01,0x50,  ,Physical
TC_ID-046 , PreCondition: PC_ID-004  Testcase:RX_SWIN_F1_EF_Read(Defaultsession),0x22,0xF1EF,0x62,  ,Physical
TC_ID-047 , PreCondition: PC_ID-004  Testcase:B_CAN_Database_Version_F1_00_Read(Defaultsession),0x22,0xF100,0x62,  ,Physical
TC_ID-048 , PreCondition: PC_ID-004  Testcase:Vehicle_Manufacturer_Spare_Part_Number_F1_87_Read(Defaultsession),0x22,0xF187,0x62,  ,Physical
TC_ID-049 , PreCondition: PC_ID-004  Testcase:Manufacturing_F1_8B_Read(Defaultsession),0x22,0xF18B,0x62,  ,Physical
TC_ID-050 , PreCondition: PC_ID-004  Testcase:ECU_Serial_Number_F1_8C_Read(Defaultsession),0x22,0xF18C,0x62,  ,Physical
TC_ID-051 , PreCondition: PC_ID-004  Testcase:Vehicle_Manufacturer_ECU_HW_Number_F1_91_Read(Defaultsession),0x22,0xF191,0x62,  ,Physical
TC_ID-052 , PreCondition: PC_ID-004  Testcase:HardwareVersionNumber_F1_93_Read(Defaultsession),0x22,0xF193,0x62,  ,Physical
TC_ID-053 , PreCondition: PC_ID-004  Testcase:ECUSoftwareUnit1IVDDataIdentifier_F1_C1_Read(Defaultsession),0x22,0xF1C1,0x62,  ,Physical
TC_ID-054 , PreCondition: PC_ID-004  Testcase:SystemSupplierECUSoftwareVersionNumbe_DataIdentifier_F1_95_Read(Defaultsession),0x22,0xF195,0x62,  ,Physical
TC_ID-055 , PreCondition: PC_ID-004  Testcase:Software_Version_for_HKMC_Vehicle_Manufacture_F1_A0_Read(Defaultsession),0x22,0xF1A0,0x62,  ,Physical
TC_ID-056 , PreCondition: PC_ID-004  Testcase:ECU_Supplier_Code_F1_A1_Read(Defaultsession),0x22,0xF1A1,0x62,  ,Physical
TC_ID-057 , PreCondition: PC_ID-004  Testcase:ECU_Software_UNIT_number_F1_B0_Read(Defaultsession),0x22,0xF1B0,0x62,  ,Physical
TC_ID-058 , PreCondition: PC_ID-004  Testcase:ECU_Software_UNIT1_Version_F1_B1_Read(Defaultsession),0x22,0xF1B1,0x62,  ,Physical
TC_ID-059 , PreCondition: PC_ID-004  Testcase:S_W_Version_Dataidentifier_F1_DD_Read(Defaultsession),0x22,0xF1DD,0x62,  ,Physical
TC_ID-060 , PreCondition: PC_ID-004  Testcase:SystemNameOrEngineTypeDataIdentifier_Read(Defaultsession),0x22,0xF197,0x62,  ,Physical
PC_ID-005 , Start Extended session,0x10,0x03,0x50,  ,Physical
TC_ID-061 , PreCondition: PC_ID-005  Testcase:RX_SWIN_F1_EF_Read(Extended session),0x22,0xF1EF,0x62,  ,Physical
TC_ID-062 , PreCondition: PC_ID-005  Testcase:B_CAN_Database_Version_F1_00_Read(Extendedsession),0x22,0xF100,0x62,  ,Physical
TC_ID-063 , PreCondition: PC_ID-005  Testcase:Vehicle_Manufacturer_Spare_Part_Number_F1_87_Read(Extendedsession),0x22,0xF187,0x62,  ,Physical
TC_ID-064 , PreCondition: PC_ID-005  Testcase:Manufacturing_F1_8B_Read(Extendedsession),0x22,0xF18B,0x62,  ,Physical
TC_ID-065 , PreCondition: PC_ID-005  Testcase:ECU_Serial_Number_F1_8C_Read(Extendedsession),0x22,0xF18C,0x62,  ,Physical
TC_ID-066 , PreCondition: PC_ID-005  Testcase:Vehicle_Manufacturer_ECU_HW_Number_F1_91_Read(Extendedsession),0x22,0xF191,0x62,  ,Physical
